ID,REGION,SITE,SITE_CODE,BLOCK,PROV,TREE,SEROT,COMBIN2,COMBIN3,com2sub,com3sub
2696,3,121,COMM,1,162,5,1,COMM:162,COMM:162:1,5,3
2697,3,121,COMM,1,162,6,1,COMM:162,COMM:162:1,5,3
2699,3,121,COMM,1,162,8,1,COMM:162,COMM:162:1,5,3
3235,3,121,COMM,2,162,4,1,COMM:162,COMM:162:2,5,2
3236,3,121,COMM,2,162,5,1,COMM:162,COMM:162:2,5,2
2461,3,121,COMM,1,73,4,1,COMM:73,COMM:73:1,5,2
2463,3,121,COMM,1,73,6,1,COMM:73,COMM:73:1,5,2
2998,3,121,COMM,2,73,1,1,COMM:73,COMM:73:2,5,3
2999,3,121,COMM,2,73,2,1,COMM:73,COMM:73:2,5,3
3002,3,121,COMM,2,73,5,1,COMM:73,COMM:73:2,5,3
13180,6,139,CUIS,1,59,4,1,CUIS:59,CUIS:59:1,5,3
13181,6,139,CUIS,1,59,5,1,CUIS:59,CUIS:59:1,5,3
13185,6,139,CUIS,1,59,9,1,CUIS:59,CUIS:59:1,5,3
13722,6,139,CUIS,2,59,6,0,CUIS:59,CUIS:59:2,5,2
13724,6,139,CUIS,2,59,8,0,CUIS:59,CUIS:59:2,5,2
13187,6,139,CUIS,1,61,2,0,CUIS:61,CUIS:61:1,5,2
13188,6,139,CUIS,1,61,3,0,CUIS:61,CUIS:61:1,5,2
13727,6,139,CUIS,2,61,2,0,CUIS:61,CUIS:61:2,5,3
13730,6,139,CUIS,2,61,5,0,CUIS:61,CUIS:61:2,5,3
13733,6,139,CUIS,2,61,8,0,CUIS:61,CUIS:61:2,5,3
18392,9,150,DECK,1,13,5,1,DECK:13,DECK:13:1,5,2
18394,9,150,DECK,1,13,7,1,DECK:13,DECK:13:1,5,2
18932,9,150,DECK,2,13,5,1,DECK:13,DECK:13:2,5,3
18933,9,150,DECK,2,13,6,1,DECK:13,DECK:13:2,5,3
18935,9,150,DECK,2,13,8,1,DECK:13,DECK:13:2,5,3
26336,10,157,DOGC,1,102,2,1,DOGC:102,DOGC:102:1,5,3
26340,10,157,DOGC,1,102,6,1,DOGC:102,DOGC:102:1,5,3
26341,10,157,DOGC,1,102,7,1,DOGC:102,DOGC:102:1,5,3
26879,10,157,DOGC,2,102,5,1,DOGC:102,DOGC:102:2,5,2
26881,10,157,DOGC,2,102,7,1,DOGC:102,DOGC:102:2,5,2
26346,10,157,DOGC,1,103,3,1,DOGC:103,DOGC:103:1,5,2
26349,10,157,DOGC,1,103,6,1,DOGC:103,DOGC:103:1,5,2
26884,10,157,DOGC,2,103,1,1,DOGC:103,DOGC:103:2,5,3
26889,10,157,DOGC,2,103,6,1,DOGC:103,DOGC:103:2,5,3
26891,10,157,DOGC,2,103,8,1,DOGC:103,DOGC:103:2,5,3
25997,10,157,DOGC,1,21,5,1,DOGC:21,DOGC:21:1,5,2
26000,10,157,DOGC,1,21,8,1,DOGC:21,DOGC:21:1,5,2
26534,10,157,DOGC,2,21,2,1,DOGC:21,DOGC:21:2,5,3
26539,10,157,DOGC,2,21,7,1,DOGC:21,DOGC:21:2,5,3
26540,10,157,DOGC,2,21,8,1,DOGC:21,DOGC:21:2,5,3
26173,10,157,DOGC,1,55,1,1,DOGC:55,DOGC:55:1,5,2
26175,10,157,DOGC,1,55,3,1,DOGC:55,DOGC:55:1,5,2
26718,10,157,DOGC,2,55,6,1,DOGC:55,DOGC:55:2,5,3
26719,10,157,DOGC,2,55,7,1,DOGC:55,DOGC:55:2,5,3
26721,10,157,DOGC,2,55,9,1,DOGC:55,DOGC:55:2,5,3
